,snapshot,objective,stores,generators
0,2030-01-01 00:00:00,1.0,1.0,1.0
1,2030-01-01 01:00:00,1.0,1.0,1.0
2,2030-01-01 02:00:00,1.0,1.0,1.0
3,2030-01-01 03:00:00,1.0,1.0,1.0
4,2030-01-01 04:00:00,1.0,1.0,1.0
5,2030-01-01 05:00:00,1.0,1.0,1.0
6,2030-01-01 06:00:00,1.0,1.0,1.0
7,2030-01-01 07:00:00,1.0,1.0,1.0
8,2030-01-01 08:00:00,1.0,1.0,1.0
9,2030-01-01 09:00:00,1.0,1.0,1.0
10,2030-01-01 10:00:00,1.0,1.0,1.0
11,2030-01-01 11:00:00,1.0,1.0,1.0
12,2030-01-01 12:00:00,1.0,1.0,1.0
13,2030-01-01 13:00:00,1.0,1.0,1.0
14,2030-01-01 14:00:00,1.0,1.0,1.0
15,2030-01-01 15:00:00,1.0,1.0,1.0
16,2030-01-01 16:00:00,1.0,1.0,1.0
17,2030-01-01 17:00:00,1.0,1.0,1.0
18,2030-01-01 18:00:00,1.0,1.0,1.0
19,2030-01-01 19:00:00,1.0,1.0,1.0
20,2030-01-01 20:00:00,1.0,1.0,1.0
21,2030-01-01 21:00:00,1.0,1.0,1.0
22,2030-01-01 22:00:00,1.0,1.0,1.0
23,2030-01-01 23:00:00,1.0,1.0,1.0
24,2030-01-02 00:00:00,1.0,1.0,1.0
25,2030-01-02 01:00:00,1.0,1.0,1.0
26,2030-01-02 02:00:00,1.0,1.0,1.0
27,2030-01-02 03:00:00,1.0,1.0,1.0
28,2030-01-02 04:00:00,1.0,1.0,1.0
29,2030-01-02 05:00:00,1.0,1.0,1.0
30,2030-01-02 06:00:00,1.0,1.0,1.0
31,2030-01-02 07:00:00,1.0,1.0,1.0
32,2030-01-02 08:00:00,1.0,1.0,1.0
33,2030-01-02 09:00:00,1.0,1.0,1.0
34,2030-01-02 10:00:00,1.0,1.0,1.0
35,2030-01-02 11:00:00,1.0,1.0,1.0
36,2030-01-02 12:00:00,1.0,1.0,1.0
37,2030-01-02 13:00:00,1.0,1.0,1.0
38,2030-01-02 14:00:00,1.0,1.0,1.0
39,2030-01-02 15:00:00,1.0,1.0,1.0
40,2030-01-02 16:00:00,1.0,1.0,1.0
41,2030-01-02 17:00:00,1.0,1.0,1.0
42,2030-01-02 18:00:00,1.0,1.0,1.0
43,2030-01-02 19:00:00,1.0,1.0,1.0
44,2030-01-02 20:00:00,1.0,1.0,1.0
45,2030-01-02 21:00:00,1.0,1.0,1.0
46,2030-01-02 22:00:00,1.0,1.0,1.0
47,2030-01-02 23:00:00,1.0,1.0,1.0
48,2030-01-03 00:00:00,1.0,1.0,1.0
49,2030-01-03 01:00:00,1.0,1.0,1.0
50,2030-01-03 02:00:00,1.0,1.0,1.0
51,2030-01-03 03:00:00,1.0,1.0,1.0
52,2030-01-03 04:00:00,1.0,1.0,1.0
53,2030-01-03 05:00:00,1.0,1.0,1.0
54,2030-01-03 06:00:00,1.0,1.0,1.0
55,2030-01-03 07:00:00,1.0,1.0,1.0
56,2030-01-03 08:00:00,1.0,1.0,1.0
57,2030-01-03 09:00:00,1.0,1.0,1.0
58,2030-01-03 10:00:00,1.0,1.0,1.0
59,2030-01-03 11:00:00,1.0,1.0,1.0
60,2030-01-03 12:00:00,1.0,1.0,1.0
61,2030-01-03 13:00:00,1.0,1.0,1.0
62,2030-01-03 14:00:00,1.0,1.0,1.0
63,2030-01-03 15:00:00,1.0,1.0,1.0
64,2030-01-03 16:00:00,1.0,1.0,1.0
65,2030-01-03 17:00:00,1.0,1.0,1.0
66,2030-01-03 18:00:00,1.0,1.0,1.0
67,2030-01-03 19:00:00,1.0,1.0,1.0
68,2030-01-03 20:00:00,1.0,1.0,1.0
69,2030-01-03 21:00:00,1.0,1.0,1.0
70,2030-01-03 22:00:00,1.0,1.0,1.0
71,2030-01-03 23:00:00,1.0,1.0,1.0
72,2030-01-04 00:00:00,1.0,1.0,1.0
73,2030-01-04 01:00:00,1.0,1.0,1.0
74,2030-01-04 02:00:00,1.0,1.0,1.0
75,2030-01-04 03:00:00,1.0,1.0,1.0
76,2030-01-04 04:00:00,1.0,1.0,1.0
77,2030-01-04 05:00:00,1.0,1.0,1.0
78,2030-01-04 06:00:00,1.0,1.0,1.0
79,2030-01-04 07:00:00,1.0,1.0,1.0
80,2030-01-04 08:00:00,1.0,1.0,1.0
81,2030-01-04 09:00:00,1.0,1.0,1.0
82,2030-01-04 10:00:00,1.0,1.0,1.0
83,2030-01-04 11:00:00,1.0,1.0,1.0
84,2030-01-04 12:00:00,1.0,1.0,1.0
85,2030-01-04 13:00:00,1.0,1.0,1.0
86,2030-01-04 14:00:00,1.0,1.0,1.0
87,2030-01-04 15:00:00,1.0,1.0,1.0
88,2030-01-04 16:00:00,1.0,1.0,1.0
89,2030-01-04 17:00:00,1.0,1.0,1.0
